sta,lat,lon,copepod_density,dredge_period
WA ,33.8347,-78.0392,145.9655506,before
WB ,33.8247,-78.0392,180.2727431,before
WC ,33.8447,-78.0492,575.5652219,before
WD ,33.8447,-78.0592,1084.876891,before
WE,33.8447,-78.0692,286.9302854,before
WF,33.8447,-78.0292,1035.117132,before
WG,33.8447,-78.0192,2876.378731,before
WH,33.8547,-78.0392,117.3723537,before
WI,33.8647,-78.0392,125.3260785,before
WJ,33.8747,-78.0392,121.9131136,before
WK,33.88802,-78.00788,645.2307616,before
WL,33.84472,-78.03925,1000.305977,before
WM,33.80402,-78.08877,677.0347108,before
WO,33.875,-78.08333,1476.903566,before
WA ,33.8347,-78.0392,125.2114321,during
WB ,33.8247,-78.0392,444.8535054,during
WC ,33.8447,-78.0492,160.0419407,during
WD ,33.8447,-78.0592,77.03518685,during
WE,33.8447,-78.0692,241.4149779,during
WF,33.8447,-78.0292,145.7849777,during
WG,33.8447,-78.0192,994.1184926,during
WH,33.8547,-78.0392,73.44443608,during
WI,33.8647,-78.0392,214.2258881,during
WJ,33.8747,-78.0392,352.2347129,during
WK,33.88802,-78.00788,227.819306,during
WL,33.84472,-78.03925,148.2518442,during
WM,33.80402,-78.08877,466.4000331,during
WO,33.875,-78.08333,28.33892334,during
WA ,33.8347,-78.0392,481.5129471,after
WB ,33.8247,-78.0392,200.785141,after
WC ,33.8447,-78.0492,895.1954366,after
WD ,33.8447,-78.0592,409.1490762,after
WE,33.8447,-78.0692,237.8995434,after
WF,33.8447,-78.0292,336.2391077,after
WG,33.8447,-78.0192,697.9282597,after
WH,33.8547,-78.0392,251.1986975,after
WI,33.8647,-78.0392,278.277108,after
WJ,33.8747,-78.0392,8.917356225,after
WK,33.88802,-78.00788,110.1553868,after
WL,33.84472,-78.03925,730.2030738,after
WM,33.80402,-78.08877,,after
WO,33.875,-78.08333,177.3860614,after
