sta,lat,lon,copepod_bef,copepod_during,copepod_after
A ,33.8347,-78.0392,145.9655506,125.2114321,481.5129471
B ,33.8247,-78.0392,180.2727431,444.8535054,200.785141
C ,33.8447,-78.0492,575.5652219,160.0419407,895.1954366
D ,33.8447,-78.0592,1084.876891,77.03518685,409.1490762
E,33.8447,-78.0692,286.9302854,241.4149779,237.8995434
F,33.8447,-78.0292,1035.117132,145.7849777,336.2391077
G,33.8447,-78.0192,2876.378731,994.1184926,697.9282597
H,33.8547,-78.0392,117.3723537,73.44443608,251.1986975
I,33.8647,-78.0392,125.3260785,214.2258881,278.277108
J,33.8747,-78.0392,121.9131136,352.2347129,8.917356225
K,33.88802,-78.00788,645.2307616,227.819306,110.1553868
L,33.84472,-78.03925,1000.305977,148.2518442,730.2030738
M,33.80402,-78.08877,677.0347108,466.4000331,0
O,33.875,-78.08333,1476.903566,28.33892334,177.3860614
